top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/795/230907006240795.jpg?RS=450&SP=1,BYREDO,베티베 핸드워시 450ml,450ml,"80,750",5%,4.9,199,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/323/230103003764323.jpg?RS=450&SP=1,BYREDO,스웨이드 핸드워시 450ml,450ml,"80,750",5%,4.9,414,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/486/220412002291486.jpg?RS=450&SP=1,Santa Maria Novella,사포네 리퀴도 멜로그라노 (핸드워시),N/A,"73,800",10%,5,34,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/484/220412002291484.jpg?RS=450&SP=1,Santa Maria Novella,사포네 리퀴도 타바코 토스카노 (핸드워시),N/A,"73,800",10%,5,2,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/557/230907006272557.jpg?RS=450&SP=1&QT=20,DIPTYQUE,엑스폴리에이팅 핸드워시 리필 350ml,350ml,"62,700",5%,4.9,41,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/321/230921006443321.jpg?RS=450&SP=1&QT=20,BYREDO,로즈 핸드워시 450ml,450ml,"80,750",5%,4.9,217,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/021/230907006172021.jpg?RS=450&SP=1&QT=20,BYREDO,튤립마니아 핸드워시 450ml,450ml,"80,750",5%,4.9,476,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/444/230223004268444.jpg?RS=450&SP=1&QT=20,LA BRUKET,듀오 키트 1 바디 워시 & 로션 레몬그라스 190ml*2,190ml*2,"66,600",10%,4.9,70,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/s3/goods/org/895/240717024766895.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 코트 다쥐르 리바이탈라이징 핸드 워시 300ml,300ml,"62,100",10%,4.7,86,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/s3/goods/org/013/240717024767013.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 밸리 오브 플라워스 리바이탈라이징 핸드 워시 300ml,300ml,"62,100",10%,5,1,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/512/220412002291512.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 리퀴도 로사 노벨라 (핸드워시),N/A,"73,800",10%,5,3,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/s3/goods/org/978/231205007289978.jpg?RS=450&SP=1&QT=20,DIPTYQUE,소프트닝 핸드워시 350ml,350ml,"97,850",5%,4.8,105,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/s3/goods/org/795/231128007224795.jpg?RS=450&SP=1&QT=20,DS&DURGA,빅 서 애프터 레인 핸드솝 400ml,400ml,"61,750",5%,5,2,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,핸드워시,https://image.sivillage.com/upload/C00001/goods/org/914/210507001218914.jpg?RS=450&SP=1&QT=20,DIPTYQUE,엑스폴리에이팅 핸드워시 350ml,350ml,"97,850",5%,4.9,108,N/A,,,N/A
